cod_materia,codenservicio_mat,nombre_mat
20527,1848,ROBOTICA BASADA EN COMPORTAMIENTOS
42483,1865,ROBOTICA EDUCATIVA
18413,1442,ROBOTICA EMBEBIDA
19916,5705,SEMINARIO DE INGENIERIA BIOMEDICA
76028,1236,SEMINARIO SOBRE ENCUENTROS ENTRE ARTE Y TECNOLOGIAS
20807,1617,SIMULACION A EVENTOS DISCRETOS
20479,1937,SISTEMAS DE INFORMACION EN SALUD
57655,1781,SISTEMAS DE INFORMACION PARA EL ANALISIS DE GRANDES VOLUMENES DE DATOS
18391,1414,SISTEMAS DISTRIBUIDOS
59526,1556,SISTEMAS EMBEBIDOS PARA TIEMPO REAL
20925,1537,SISTEMAS OPERATIVOS
20920,1532,SISTEMAS OPERATIVOS
58006,S42,SOCIOLOGÍA DE LA EMPRESA Y MANAGEMENT
77602,5720,TALLER DE APRENDIZAJE AUTOMATICO
64139,5853,TALLER DE APRENDIZAJE AUTOMATICO
18431,1445,TALLER DE ARQUITECTURA DE COMPUTADORAS
50810,1774,TALLER DE EVAL. DE TECN. DE LA INF.
18424,1428,TALLER DE FIRMWARE
20777,1766,TALLER DE GEST.Y TEC.PROC.NEGOCIO (TBPM)
18429,1449,TALLER DE GPGPU
40451,1770,TALLER DE ING.DIRIGIDA POR MODELOS
72209,1888,TALLER DE INICIACION A LOS SISTEMAS CIBER-FISICOS
72360,O6311,TALLER DE INTERACCIÓN
20782,1768,TALLER DE INTERACCION PERSONA COMPUTAD.
37736,1947,TALLER DE LENG.Y TEC.DE LA WEB SEMANTICA
68811,1876,TALLER DE MINERIA DE PROCESOS DE NEGOCIO (TPM)
53289,1778,TALLER DE PLAN Y SEG DE PROY DE SOFTWARE
18269,1327,TALLER DE PROGRAMACION
42487,1546,TALLER DE RADIO DEFINIDA POR SOFTWARE
55355,1780,TALLER DE ROBOTICA EDUCATIVA
18412,1437,TALLER DE SEGURIDAD INFORMATICA
75279,1891,TALLER DE SEGURIDAD INFÓRMATICA
50816,1776,TALLER DE SIST. DE INF. GEO. EMPRES.
20661,1759,TALLER DE SIST. DE INF.GEOGRAF.EMPRESAR.
47533,1952,TALLER DE SISTEMAS CIBER-FISICOS
20666,1751,TALLER DE SISTEMAS DE INFORMACION 1
20628,1740,TALLER DE SISTEMAS DE INFORMACION 3
20669,1741,TALLER DE SISTEMAS DE INFORMACION 4
50811,1775,TALLER DE SISTEMAS EMPRESARIALES
20918,1542,TALLER DE SISTEMAS OPERATIVOS
20668,1742,TALLER DE VERIFICACION DEL SOFTWARE
22154,2034,TALLER ENCARARE 1:CREATIVIDAD E INNOVAC.
22152,2036,TALLER ENCARARE 2:PLANIF.DE LA FUT.EMPR.
47525,1216,TALLER ENCARARE: CREAR
24404,SRN25,TALLER INTERDISCIPLINARIO
20633,1735,TALLER SISTEMAS DE INFORMACION 2
20473,1933,TECNICAS AVANZADAS PARA LA GEST. DE SIST. DE INF.
58889,2398,TECNICAS DE DESCOMPOSICION EN PROGRAMACION MATEMATICA
74174,O7246,TECNOLOGÍAS DE DIGITALIZACIÓN Y TRANSCODIFICACIÓN. IDENTIFICACIÓN Y PRESERVACIÓN
18242,1304,TECNOLOGIAS INTERACTIVAS Y VIDEOJUEGOS
77568,1899,TEMAS AVANZADOS EN CÓDIGOS PARA CORRECCIÓN DE ERRORES
42485,1633,"TEORIA, ALGORIT. Y APLIC. DE GEST. LOGIS"
18827,1042,TEORIA DE COD. ALGEB. PARA CORR. DE ERRORES
52932,1065,TEORIA DE COD. ALGEB. PARA CORR. DE ERRORES
18795,1011,TEORIA DE CODIGOS AVANZADO
14207,D87,TEORÍA DE JUEGOS
37734,1358,TEORIA DE LA COMPUTACION
18260,1336,TEORIA DE LA COMPUTACION
18274,1325,TEORIA DE LENGUAJES
24887,CIM22,TOPOLOGÍA
71545,1886,TOPOLOGIA Y ANALISIS REAL
19797,5828,TRATAMIENTO DE IMAGENES POR COMPUTADORA
18559,1233,TUTORIA EN MATEMATICA
49809,2216,TUTORIAS ENTRE PARES 1
49810,2217,TUTORIAS ENTRE PARES 2
78269,5005,TUTORIAS ENTRE PARES ACADEMICAS PROGRESA/FING
18251,1346,VERIFICACION DE MODELOS
47979,1145,VISION 3D
