nombrep,codigogrupop,nombreh,codigogrupoh,nombre_mat,codigo_materia,codenservicio_mat,tipo_mat,creditos_mat
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS ASIGNADOS POR REVALIDA,21688,MA5,G,5
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS ASIGNADOS POR REVALIDA,21727,MAT33,G,33
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS ASIGNADOS POR REVALIDA,21562,MAT8,G,8
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS ASIGNADOS POR REVALIDA,21512,MA16,G,16
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS ASIGNADOS POR REVALIDA,21510,MA20,G,20
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS ASIGNADOS POR REVALIDA,21509,MA24,G,24
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS ASIGNADOS POR REVALIDA,21698,MA9,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS ASIGNADOS POR REVALIDAS,80315,MA18,G,18
MATERIAS BASICAS,2436,MATEMATICA,4083,CREDITOS NO ACUM PROBABILIDAD Y ESTADISTICA,66867,1025T,G,8
MATERIAS BASICAS,2436,MATEMATICA,4083,CRIPTOGRAFIA:ASPECTOS TEOR. Y PRACTICOS,18853,1059,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,ECUACIONES DIFERENCIALES,18860,1074,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,ECUACIONES DIFERENCIALES,24889,CIM24,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,ECUACIONES DIFERENCIALES,18820,1028,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,ESTADISTICA ESPACIAL,43655,GP5,G,5
MATERIAS BASICAS,2436,MATEMATICA,4083,ESTADÍSTICA I,39457,ESTAI,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,ESTADÍSTICA I 2022,70305,RN115,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,ESTADÍSTICA II,53891,ESII,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,FUNCIONES DE VARIABLE COMPLEJA,55775,1066,G,5
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL,21310,CP2,G,24
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRÍA Y ÁLGEBRA LINEAL,16374,AL,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL 1,18854,1071,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL 1,18815,1030,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRÍA Y ÁLGEBRA LINEAL 1,77325,DMA03,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL 1 (ANUAL),18846,1053,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL (1ER.SEM.),18634,CP46,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL 1 INTERACTIVA,74520,GAL1P,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL 2,18814,1031,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL 2,18843,1058,G,9
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL (2DO.SEM.),18633,CP47,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRÍA Y ALGEBRA LINEAL II,78760,DMA04,G,12
MATERIAS BASICAS,2436,MATEMATICA,4083,GEOMETRIA Y ALGEBRA LINEAL (P. 74),18614,CP23,G,24
MATERIAS BASICAS,2436,MATEMATICA,4083,INFERENCIA II  (ESTADISTICA BAYESIANA),18850,1049,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,INT. A LAS ECUACIONES DIFERENCIALES,52227,1064,G,10
MATERIAS BASICAS,2436,MATEMATICA,4083,INT. A LA TEORIA DE LA INFORMACION,18436,1450,G,8
MATERIAS BASICAS,2436,MATEMATICA,4083,INT. A LA TOPOLOGIA,21480,C461,G,10
